[SUBCATCHMENTS],,,,,,,,
Name,Raingage,Outlet,TotArea,PctImpv,Width,PctSlope,CurbLen,SnowPack
1,1,1016,33,100,958.5666,0.25,0,*
2,2,1017,129.18,100,958.5666,0.25,0,*
3,3,1018,140.52,100,958.5666,0.25,0,*
4,4,1019,100.51,100,958.5666,0.25,0,*
5,5,1020,17.82,100,958.5666,0.25,0,*
6,6,1011,191.41,100,1500,0.25,0,*
7,7,1012,235.03,100,1500,0.25,0,*
8,8,1013,192.8,100,1500,0.25,0,*
9,9,1014,193.21,100,1500,0.25,0,*
10,10,1015,133.94,100,1500,0.25,0,*
11,11,1006,33.08,100,1007.5408,0.25,0,*
12,12,1007,185.55,100,1007.5408,0.25,0,*
13,13,1008,101.54,100,1007.5408,0.25,0,*
14,14,1009,91.71,100,1007.5408,0.25,0,*
15,15,1010,114.49,100,1007.5408,0.25,0,*
16,16,1001,29.95,100,421.4552,0.25,0,*
17,17,1002,173.34,100,421.4552,0.25,0,*
18,18,1003,173.1,100,421.4552,0.25,0,*
19,19,1004,110.36,100,421.4552,0.25,0,*
20,20,1005,77.75,100,421.4552,0.25,0,*
21,21,1034,103.68,100,100,0.25,0,*
22,22,1035,258.68,100,100,0.25,0,*
23,23,1040,159.74,100,100,0.25,0,*
24,24,1041,24.22,100,100,0.25,0,*
25,25,1036,16.29,100,100,0.25,0,*
26,26,1037,74.98,100,100,0.25,0,*
27,27,1038,112.33,100,100,0.25,0,*
28,28,1043,150.29,100,100,0.25,0,*
29,29,1044,10.59,100,100,0.25,0,*
